space,
exclam,bcr
quotedbl,fi
numbersign,fielgndp
dollar,aofgncdpil
percent,kjfaigcpln
ampersand,mhaigedp
quotesingle,i
parenleft,jm
parenright,hk
asterisk,ilgnhmkj
plus,ilgn
comma,k
hyphen,gn
period,l
slash,kj
zero,aobcdpefkj
one,bc
two,aobgnedp
three,aobgncdp
four,fgnbc
five,aofgncdp
six,aofedpcgn
seven,aobc
eight,aobcdpefgn
nine,gnfaobcdp
colon,il
semicolon,ik
less,jgm
equal,gndp
greater,hnk
question,aobnl
at,nlpcbaofe
A,aobcefgn
B,aobcdpnil
C,aofedp
D,aobcdpil
E,aofegndp
F,aofegn
G,aofedpcn
H,fegnbc
I,aoildp
J,bcdpe
K,fegjm
L,fedp
M,efhjbc
N,efhmcb
O,aobcdpef
P,efaobgn
Q,aobcdpefm
R,efaobgnm
S,=five
T,aoil
U,fedpcb
V,fekj
W,fekmcb
X,hjkm
Y,hjl
Z,aojkdp
bracketleft,oilp
backslash,hm
bracketright,aild
asciicircum,jb
underscore,dp
grave,h
a,gedpl
b,fedpcgn
c,gnedp
d,egndpcb
e,kgedp
f,oilgn
g,aohnbcdp
h,fegnc
i,l
j,ilde
k,iljm
l,fed
m,eglnc
n,egnc
o,gnedpc
p,feaojg
q,aofgnbc
r,egn
s,nmp
t,fedpgn
u,edpc
v,ek
w,ekmc
x,=X
y,fgnbcdp
z,gkd
braceleft,aohgkdp
bar,=colon
braceright,aojnmdp
asciitilde,fainb
sterling,oildpgn
brokenbar,=colon
section,aofgncdphm
logicalnot,gnc
degree,aigf
plusminus,ignldp
periodcentered,n
multiply,=X
divide,=slash
endash,=hyphen
emdash,=hyphen
quoteleft,h
quoteright,j
quotedblleft,hb
quotedblright,fj
dagger,=plus
daggerdbl,ilgnao
bullet,=periodcentered
ellipsis,elc
minute,=quoteright
second,=quotedblright
Euro,aofedpg
unie650,faobc
unie651,=d
unie652,=plus
unie653,fek
unie654,bgnedp
unie655,oafgncpl
unie656,aobcdpn
unie657,=Euro
unie658,aobcdpegn
unie659,gnbaofedp
unie65a,=S
unie65b,=two
unie65c,ikdp
unie65d,aojldeg
unie65e,gikdp
unie65f,aojln
unie660,=P
unie661,=slash
unie662,aofeg
unie663,ekj
unie664,knbaofgm
unie665,gmdpefao
unie666,hncdpegj
unie667,dpcgnb
unie668,aobcdp
unie669,ildegnc
unie66a,=t
unie66b,hmkn
unie66c,hmgj
unie66e,jkdp
unie66f,aojk
unie670,=colon
unie671,kjbc
unie672,=L
unie673,fedpaig
unie674,dpcb
unie675,dpcboin
unie676,dlio
unie677,ailp
unie678,=seven
unie679,igfaobc
unie67a,efao
unie67b,efaobni
unie67c,=O
unie67d,=U
unie67e,efaobc
u10450,=q
u10451,jbc
u10452,=unie654
u10453,dpcbn
u10454,=unie658
u10455,=five
u10456,jlp
u10457,gjlp
u10458,=backslash
u10459,=unie664
u1045a,=b
u1045b,=unie653
u1045c,aobnge
u1045d,=unie662
u1045e,=unie659
u1046f,=two
u10460,aik
u10461,aikn
u10462,=slash
u10463,=unie666
u10464,=C
u10465,=unie676
u10466,=colon
u10467,=L
u10468,=unie674
u10469,=unie67a
u1046a,=seven
u1046b,=V
u1046c,jglp
u1046d,kgfao
u1046e,=unie668
u1046f,=unie677
u10470,fgnc
u10471,oahm
u10472,=unie66f
u10473,aojl
u10474,=O
u10475,=unie671
u10476,aink
u10477,aobnm
u10478,kgfaobcp
u10479,aigedpcb
u1047a,egiobcp
u1047b,fglpcbo
u1047c,efaobcp
u1047d,feobcp
u1047e,felio
u1047f,hljbc
test,aobcdpefghijklmnr
